Timestamp,IO_Usage_Percent,Read_MB_s,Write_MB_s,Read_Count,Write_Count
2026-02-18 13:17:31,0.43,0.98,1.17,61,76
2026-02-18 13:17:41,0.42,0.97,1.11,60,73
2026-02-18 13:17:51,0.40,0.95,1.05,59,65
2026-02-18 13:18:01,0.64,1.24,1.94,76,181
2026-02-18 13:18:11,0.40,0.95,1.07,60,67
2026-02-18 13:18:21,0.41,0.95,1.09,60,71
2026-02-18 13:18:31,0.40,0.95,1.06,60,67
2026-02-18 13:18:41,0.39,0.93,1.03,59,65
2026-02-18 13:18:51,2.00,9.34,0.67,34,43
2026-02-18 13:19:01,0.03,0.02,0.13,1,7
2026-02-18 13:19:11,0.07,0.08,0.27,2,13
2026-02-18 13:19:22,0.08,0.08,0.32,3,14
2026-02-18 13:19:32,0.04,0.05,0.17,2,8
2026-02-18 13:19:42,0.05,0.05,0.18,2,15
2026-02-18 13:19:52,0.03,0.03,0.14,1,8
2026-02-18 13:20:02,0.06,0.04,0.24,1,28
2026-02-18 13:20:12,0.05,0.04,0.19,1,13
2026-02-18 13:20:22,0.03,0.03,0.13,1,6
2026-02-18 13:20:32,0.04,0.03,0.15,1,8
2026-02-18 13:20:42,0.04,0.03,0.15,1,12
2026-02-18 13:20:52,0.05,0.05,0.19,2,8
2026-02-18 13:21:02,0.04,0.03,0.17,1,10
2026-02-18 13:21:12,0.04,0.05,0.17,2,9
2026-02-18 13:21:22,0.04,0.05,0.16,2,10
2026-02-18 13:21:32,0.03,0.02,0.14,1,8
2026-02-18 13:21:42,0.04,0.04,0.19,1,11
2026-02-18 13:21:52,0.06,0.07,0.22,3,18
2026-02-18 13:22:02,0.04,0.04,0.17,1,9
2026-02-18 13:22:12,0.06,0.07,0.24,2,14
2026-02-18 13:22:22,0.07,0.10,0.27,4,18
2026-02-18 13:22:32,0.08,0.10,0.30,7,17
2026-02-18 13:22:42,0.06,0.06,0.22,2,14
2026-02-18 13:22:52,0.04,0.04,0.16,1,10
2026-02-18 13:23:02,0.04,0.04,0.16,1,8
2026-02-18 13:23:12,0.09,0.13,0.34,7,26
2026-02-18 13:23:22,0.04,0.04,0.14,1,6
2026-02-18 13:23:32,0.06,0.06,0.22,2,10
2026-02-18 13:23:42,0.09,0.09,0.37,3,19
2026-02-18 13:23:52,0.58,0.52,2.38,7,21
2026-02-18 13:24:02,0.44,0.49,1.70,15,38
2026-02-18 13:24:12,0.42,0.61,1.47,24,40
2026-02-18 13:24:22,0.13,0.18,0.47,8,28
2026-02-18 13:24:32,0.12,0.14,0.44,5,20
2026-02-18 13:24:42,0.25,0.33,0.94,17,60
2026-02-18 13:24:52,0.18,0.23,0.67,11,39
2026-02-18 13:25:02,0.26,0.38,0.92,11,36
2026-02-18 13:25:12,0.08,0.10,0.29,4,16
2026-02-18 13:25:22,0.27,0.15,1.18,4,16
